Data from USB2G573461__4__13-05-48-996.txt Node

Date: Tue Mar 01 13:05:48 EST 2022
User: sammynoelparise
Spectrometer: USB2G57346
Scans to average: 1
Trigger mode: 4
Integration Time (sec): 1,000000E-1
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 651
>>>>>Begin Spectral Data<<<<<
785	3,73
786	1,69
787	2,15
788	4,54
789	0,78
790	0,22
791	-1,18
792	-2,02
793	1,02
794	0,33
795	-0,42
796	-1,43
797	-2,37
798	0,01
799	-3,34
800	3,22
801	4,51
802	3,03
803	0,61
804	2,3
805	2,33
806	1,34
807	0,6
808	-1,33
809	-0,96
810	-1,81
811	0,65
812	1,42
813	2,26
814	6,31
815	1,39
816	3,79
817	1,24
818	1,27
819	-0,26
820	-1,03
821	1,57
822	-0,37
823	4,52
824	0,64
825	4,3
826	1,41
827	0,58
828	-0,99
829	2,31
830	-0,65
831	-0,55
832	0,7
833	0,21
834	0,25
835	0,47
836	-0,5
837	-0,59
838	0,52
839	-1,07
840	2,48
841	-1,2
842	0,61
843	1
844	2,87
845	-1,82
846	0,07
847	2,24
848	0,48
849	2,77
850	0,72
851	1,71
852	3,83
853	-0,45
854	-0,05
855	-0,11
856	2,53
857	-2,63
858	-0,23
859	-2
860	-1,22
861	-2,19
862	4,82
863	0,73
864	-1,54
865	-3,29
866	1,19
867	0,31
868	6,58
869	-1,43
870	0,45
871	-1,48
872	0,39
873	0,08
874	0,85
875	-1,92
876	-0,54
877	1,28
878	0,85
879	-2,09
880	-4,44
881	0,37
882	2,58
883	3,5
884	-1,12
885	1,99
886	-2,49
887	-0,29
888	1,54
889	-1,49
890	-0,36
891	-0,55
892	1,56
893	4,69
894	4,78
895	-1,54
896	1,77
897	0,08
898	-1,37
899	-0,43
900	-0,38
901	-0,18
902	1,04
903	-3,53
904	1,44
905	1,48
906	4,29
907	1,06
908	0,4
909	0,04
910	1,28
911	0,6
912	1,47
913	-0,82
914	-2,13
915	3,94
916	-1,64
917	-1,48
918	-0,31
919	-0,37
920	3,45
921	-3,29
922	-4,8
923	-0,64
924	2,67
925	-1,7
926	-2,46
927	3,43
928	2,51
929	1,85
930	0,39
931	-0,94
932	-1,43
933	1,22
934	-1,83
935	-0,36
936	0,64
937	4,49
938	0,19
939	1,73
940	-0,81
941	-1,88
942	2,75
943	-0,19
944	-1,49
945	2,73
946	1,59
947	0,94
948	1,73
949	-0,24
950	1,96
951	0,99
952	0,48
953	0,32
954	2,22
955	-0,04
956	-0,2
957	1,62
958	0,24
959	-0,99
960	0,93
961	2,75
962	0,96
963	0,69
964	2,37
965	3,8
966	-1,55
967	-1,12
968	-0,75
969	-0,8
970	2,53
971	2,1
972	5,4
973	2,39
974	1,93
975	1,98
976	2,63
977	0,97
978	-1,27
979	0,83
980	3,97
981	1,5
982	0,98
983	1,83
984	0,54
985	-0,53
986	-0,05
987	-1,26
988	1,51
989	0,85
990	1,79
991	1,73
992	3,68
993	-0,6
994	1,85
995	2,65
996	1,6
997	-0,32
998	-0,46
999	4,36
1000	2,4
